filters,kernel_size,strides,pool_size,GRU_units,dropout1,dropout2,Avg_mape
16,2,1,1,32,0.05,0.05,2.064375312708103
16,2,2,1,32,0.05,0.05,2.0977468463813724
16,2,1,2,32,0.05,0.05,2.491083328101323
16,2,2,2,32,0.05,0.05,3.039368641693357
16,3,1,1,32,0.05,0.05,2.065437037657652
16,3,2,1,32,0.05,0.05,2.5507744069270295
16,3,1,2,32,0.05,0.05,2.3075285931988234
16,3,2,2,32,0.05,0.05,2.6913345868740115
32,2,1,1,32,0.05,0.05,2.0271756649637824
32,2,2,1,32,0.05,0.05,2.0391933616764617
32,2,1,2,32,0.05,0.05,2.5715906566206943
32,2,2,2,32,0.05,0.05,3.052368519147793
32,3,1,1,32,0.05,0.05,1.978347902883921
32,3,2,1,32,0.05,0.05,2.389468818864918
32,3,1,2,32,0.05,0.05,2.1346718173464594
32,3,2,2,32,0.05,0.05,2.477847154639819
64,2,1,1,32,0.05,0.05,1.769132332756494
64,2,2,1,32,0.05,0.05,2.0331916203015785
64,2,1,2,32,0.05,0.05,2.480229035232036
64,2,2,2,32,0.05,0.05,2.943177165553465
64,3,1,1,32,0.05,0.05,1.8089786141174873
64,3,2,1,32,0.05,0.05,2.3966964929660803
64,3,1,2,32,0.05,0.05,2.0441818036983803
64,3,2,2,32,0.05,0.05,2.559785509800838
16,2,1,1,32,0.1,0.05,2.197866904841503
16,2,2,1,32,0.1,0.05,2.2033933725314587
16,2,1,2,32,0.1,0.05,2.766179635203534
16,2,2,2,32,0.1,0.05,3.2523180221396912
16,3,1,1,32,0.1,0.05,2.1507274732564174
16,3,2,1,32,0.1,0.05,2.693114545021133
16,3,1,2,32,0.1,0.05,2.6027985446841555
16,3,2,2,32,0.1,0.05,2.8182871648857604
32,2,1,1,32,0.1,0.05,1.9815923930888737
32,2,2,1,32,0.1,0.05,2.164495237210872
32,2,1,2,32,0.1,0.05,2.5617955334832305
32,2,2,2,32,0.1,0.05,2.91622363009022
32,3,1,1,32,0.1,0.05,2.0157262955571933
32,3,2,1,32,0.1,0.05,2.4152481083203576
32,3,1,2,32,0.1,0.05,2.294737835667974
