filters,kernel_size,strides,pool_size,GRU_units,dropout1,dropout2,Avg_mape
16,2,1,1,32,0.05,0.1,2.16667352028745
16,2,2,1,32,0.05,0.1,2.2965086438870537
16,2,1,2,32,0.05,0.1,2.632850539021137
16,2,2,2,32,0.05,0.1,3.042764305713911
16,3,1,1,32,0.05,0.1,1.9750471894705022
16,3,2,1,32,0.05,0.1,2.43483915275429
16,3,1,2,32,0.05,0.1,2.253156945789494
16,3,2,2,32,0.05,0.1,2.785309249310862
32,2,1,1,32,0.05,0.1,1.930761505767208
32,2,2,1,32,0.05,0.1,2.1351694984700034
32,2,1,2,32,0.05,0.1,2.522474343441665
32,2,2,2,32,0.05,0.1,3.1039636785402798
32,3,1,1,32,0.05,0.1,1.9762749151797203
32,3,2,1,32,0.05,0.1,2.42165555921478
32,3,1,2,32,0.05,0.1,2.1698483928034147
32,3,2,2,32,0.05,0.1,2.597876936735116
64,2,1,1,32,0.05,0.1,1.8699967240678592
64,2,2,1,32,0.05,0.1,2.028445746979387
64,2,1,2,32,0.05,0.1,2.4738229564040832
64,2,2,2,32,0.05,0.1,2.890523084645769
64,3,1,1,32,0.05,0.1,1.921504623185892
64,3,2,1,32,0.05,0.1,2.422944179298917
64,3,1,2,32,0.05,0.1,2.109142382677976
64,3,2,2,32,0.05,0.1,2.554384760501735
16,2,1,1,32,0.05,0.15,2.1189012202951267
16,2,2,1,32,0.05,0.15,2.279652845350404
16,2,1,2,32,0.05,0.15,2.590296865491299
16,2,2,2,32,0.05,0.15,2.98591740515786
16,3,1,1,32,0.05,0.15,1.9644833804725426
16,3,2,1,32,0.05,0.15,2.4825819516714613
16,3,1,2,32,0.05,0.15,2.2887389421866335
16,3,2,2,32,0.05,0.15,2.757362902713981
32,2,1,1,32,0.05,0.15,2.013872869748917
32,2,2,1,32,0.05,0.15,2.193817378171231
32,2,1,2,32,0.05,0.15,2.5141217377283094
32,2,2,2,32,0.05,0.15,2.9792602803398545
32,3,1,1,32,0.05,0.15,2.1229366938945526
32,3,2,1,32,0.05,0.15,2.394001614605236
32,3,1,2,32,0.05,0.15,2.257190243532813
32,3,2,2,32,0.05,0.15,2.7639270082146097
64,2,1,1,32,0.05,0.15,1.9483758100999626
64,2,2,1,32,0.05,0.15,1.977115372893901
64,2,1,2,32,0.05,0.15,2.548974088775891
64,2,2,2,32,0.05,0.15,2.86023756943588
64,3,1,1,32,0.05,0.15,1.9895440223001495
64,3,2,1,32,0.05,0.15,2.2905486137404387
64,3,1,2,32,0.05,0.15,2.0989301865854477
64,3,2,2,32,0.05,0.15,2.5792554286962313
16,2,1,1,32,0.1,0.1,2.279953043715553
16,2,2,1,32,0.1,0.1,2.376938941160193
16,2,1,2,32,0.1,0.1,2.7080625950383754
16,2,2,2,32,0.1,0.1,3.274314997175283
16,3,1,1,32,0.1,0.1,2.200394057997254
16,3,2,1,32,0.1,0.1,2.4918892840507016
16,3,1,2,32,0.1,0.1,2.4695603847891814
16,3,2,2,32,0.1,0.1,3.2386920128981607
32,2,1,1,32,0.1,0.1,1.9344245278262011
32,2,2,1,32,0.1,0.1,2.1779582885308817
32,2,1,2,32,0.1,0.1,2.6709890899591797
32,2,2,2,32,0.1,0.1,3.132697402160705
32,3,1,1,32,0.1,0.1,2.017942106208184
32,3,2,1,32,0.1,0.1,2.4504676104281846
32,3,1,2,32,0.1,0.1,2.2039099019389883
32,3,2,2,32,0.1,0.1,2.680597419984012
64,2,1,1,32,0.1,0.1,1.8893012359009618
64,2,2,1,32,0.1,0.1,2.0674074505008373
64,2,1,2,32,0.1,0.1,2.4921870810813798
64,2,2,2,32,0.1,0.1,2.95217454023916
64,3,1,1,32,0.1,0.1,2.1116122669764725
64,3,2,1,32,0.1,0.1,2.381335931439764
64,3,1,2,32,0.1,0.1,2.2188098545209995
64,3,2,2,32,0.1,0.1,2.6439602238132536
16,2,1,1,32,0.1,0.15,2.0783687077523596
16,2,2,1,32,0.1,0.15,2.2509487102647925
16,2,1,2,32,0.1,0.15,2.9827700570785733
16,2,2,2,32,0.1,0.15,3.33485223701283
16,3,1,1,32,0.1,0.15,2.1817123894421453
16,3,2,1,32,0.1,0.15,2.5404523919125737
16,3,1,2,32,0.1,0.15,2.2690793209794045
16,3,2,2,32,0.1,0.15,2.8469649239161066
32,2,1,1,32,0.1,0.15,2.0141724070037714
32,2,2,1,32,0.1,0.15,2.1164933799797105
32,2,1,2,32,0.1,0.15,2.8082123173668947
32,2,2,2,32,0.1,0.15,2.900933589743069
32,3,1,1,32,0.1,0.15,2.0056578959406797
32,3,2,1,32,0.1,0.15,2.548210911636731
32,3,1,2,32,0.1,0.15,2.2429612676388557
32,3,2,2,32,0.1,0.15,2.7611673259368
64,2,1,1,32,0.1,0.15,1.919400159074285
64,2,2,1,32,0.1,0.15,2.163010130788018
64,2,1,2,32,0.1,0.15,2.536653730437025
64,2,2,2,32,0.1,0.15,3.050757945649895
64,3,1,1,32,0.1,0.15,1.8716483878777703
64,3,2,1,32,0.1,0.15,2.440194126930877
64,3,1,2,32,0.1,0.15,2.083772646029422
64,3,2,2,32,0.1,0.15,2.7947438252116092
16,2,1,1,32,0.15,0.1,2.465936703055985
16,2,2,1,32,0.15,0.1,2.2734023582446805
16,2,1,2,32,0.15,0.1,3.010502618805692
16,2,2,2,32,0.15,0.1,3.1740987819432807
16,3,1,1,32,0.15,0.1,2.4993496043076466
16,3,2,1,32,0.15,0.1,2.818124467462605
16,3,1,2,32,0.15,0.1,2.5810213423384236
16,3,2,2,32,0.15,0.1,2.9523219905469027
32,2,1,1,32,0.15,0.1,2.04901032177134
32,2,2,1,32,0.15,0.1,2.073212795662454
32,2,1,2,32,0.15,0.1,2.7564278578400256
32,2,2,2,32,0.15,0.1,3.105489235788534
32,3,1,1,32,0.15,0.1,2.074789883544485
32,3,2,1,32,0.15,0.1,2.5552762227384984
32,3,1,2,32,0.15,0.1,2.3576641916388943
32,3,2,2,32,0.15,0.1,2.7050252982297045
64,2,1,1,32,0.15,0.1,2.0077010536207616
64,2,2,1,32,0.15,0.1,2.1398731230081136
64,2,1,2,32,0.15,0.1,2.55807043246485
64,2,2,2,32,0.15,0.1,3.0007231105874967
64,3,1,1,32,0.15,0.1,1.9113849175859035
64,3,2,1,32,0.15,0.1,2.4829849038447698
64,3,1,2,32,0.15,0.1,2.2791539879520113
64,3,2,2,32,0.15,0.1,2.623319214182196
16,2,1,1,32,0.15,0.15,2.4524913782233866
16,2,2,1,32,0.15,0.15,2.326855076053127
16,2,1,2,32,0.15,0.15,2.8294900506953944
16,2,2,2,32,0.15,0.15,3.375073980271408
16,3,1,1,32,0.15,0.15,2.3025320626605374
16,3,2,1,32,0.15,0.15,2.737821545423618
16,3,1,2,32,0.15,0.15,2.529748121565538
16,3,2,2,32,0.15,0.15,2.8713267283556676
32,2,1,1,32,0.15,0.15,2.138683280645055
32,2,2,1,32,0.15,0.15,2.2513298504109702
32,2,1,2,32,0.15,0.15,2.7225199303463214
32,2,2,2,32,0.15,0.15,3.1692759121410035
32,3,1,1,32,0.15,0.15,2.070162205716509
32,3,2,1,32,0.15,0.15,2.6618767931406047
32,3,1,2,32,0.15,0.15,2.37665280716363
32,3,2,2,32,0.15,0.15,2.7852242792316155
64,2,1,1,32,0.15,0.15,2.0119601296981338
64,2,2,1,32,0.15,0.15,2.043482525110752
64,2,1,2,32,0.15,0.15,2.6157844092107525
64,2,2,2,32,0.15,0.15,3.0077368162926432
64,3,1,1,32,0.15,0.15,1.996386385542278
64,3,2,1,32,0.15,0.15,2.423984994708487
64,3,1,2,32,0.15,0.15,2.1936607701427033
64,3,2,2,32,0.15,0.15,2.699314749664824
16,2,1,1,32,0.2,0.1,2.9814338564270453
16,2,2,1,32,0.2,0.1,2.62527679687545
16,2,1,2,32,0.2,0.1,2.9992304646070416
16,2,2,2,32,0.2,0.1,3.2242857569468306
16,3,1,1,32,0.2,0.1,2.6379266193950257
16,3,2,1,32,0.2,0.1,3.2581541815723747
16,3,1,2,32,0.2,0.1,2.878223869917028
16,3,2,2,32,0.2,0.1,3.076988551860343
32,2,1,1,32,0.2,0.1,2.216057707834233
32,2,2,1,32,0.2,0.1,2.1897176169532817
32,2,1,2,32,0.2,0.1,2.6747927779131717
32,2,2,2,32,0.2,0.1,3.1904435052340934
32,3,1,1,32,0.2,0.1,2.170668243100288
32,3,2,1,32,0.2,0.1,2.5958359212383924
32,3,1,2,32,0.2,0.1,2.487781650754441
32,3,2,2,32,0.2,0.1,2.669548705404976
64,2,1,1,32,0.2,0.1,2.030495493097698
64,2,2,1,32,0.2,0.1,2.079987451976131
64,2,1,2,32,0.2,0.1,2.6637121413811276
64,2,2,2,32,0.2,0.1,2.9971650313747653
64,3,1,1,32,0.2,0.1,2.0143387923602583
64,3,2,1,32,0.2,0.1,2.4340360443986193
64,3,1,2,32,0.2,0.1,2.2018427143634463
64,3,2,2,32,0.2,0.1,2.7978968648200486
16,2,1,1,32,0.2,0.15,2.419535074229728
16,2,2,1,32,0.2,0.15,2.4735383321097753
16,2,1,2,32,0.2,0.15,2.811123026264683
16,2,2,2,32,0.2,0.15,3.4395526224617865
16,3,1,1,32,0.2,0.15,2.568048732040151
16,3,2,1,32,0.2,0.15,2.951000378381423
16,3,1,2,32,0.2,0.15,2.6070887377341365
16,3,2,2,32,0.2,0.15,3.041964306631518
32,2,1,1,32,0.2,0.15,2.120182358027485
32,2,2,1,32,0.2,0.15,2.3643652510512485
32,2,1,2,32,0.2,0.15,2.7700261897489202
32,2,2,2,32,0.2,0.15,3.1110132531979118
32,3,1,1,32,0.2,0.15,2.2699352530517043
32,3,2,1,32,0.2,0.15,2.479058323436228
32,3,1,2,32,0.2,0.15,2.351675279390094
32,3,2,2,32,0.2,0.15,2.901373277245352
64,2,1,1,32,0.2,0.15,2.1741235395045955
64,2,2,1,32,0.2,0.15,2.173498984977685
64,2,1,2,32,0.2,0.15,2.667336585914599
64,2,2,2,32,0.2,0.15,3.0731281497396004
64,3,1,1,32,0.2,0.15,1.9504044619285492
64,3,2,1,32,0.2,0.15,2.6535028809168324
64,3,1,2,32,0.2,0.15,2.258270899305883
64,3,2,2,32,0.2,0.15,2.7062021990519547
16,2,1,1,64,0.05,0.1,2.0955635603566534
16,2,2,1,64,0.05,0.1,1.9970484313358021
16,2,1,2,64,0.05,0.1,2.6579948141319174
16,2,2,2,64,0.05,0.1,2.9977656764518397
16,3,1,1,64,0.05,0.1,1.939873408606393
16,3,2,1,64,0.05,0.1,2.4298599389091557
16,3,1,2,64,0.05,0.1,2.1949728471776244
16,3,2,2,64,0.05,0.1,2.7006773583500077
32,2,1,1,64,0.05,0.1,1.8705319792768573
32,2,2,1,64,0.05,0.1,2.065719296533576
32,2,1,2,64,0.05,0.1,2.5198162046500028
32,2,2,2,64,0.05,0.1,2.8286877493050713
32,3,1,1,64,0.05,0.1,2.002559429973221
32,3,2,1,64,0.05,0.1,2.3160017574361906
32,3,1,2,64,0.05,0.1,2.2120160855376505
