股票名称,MAE,MSE,MAPE
GZMT,0.010719 ,0.000223 ,1.568558657
GSYH,0.007281 ,0.000114 ,2.419787761
NYYH,0.011402 ,0.000292 ,2.657187101
ZGSY,0.003034 ,0.000019 ,5.903108072
ZGYH,0.006309 ,0.000094 ,2.79483992
ZGRS,0.008391 ,0.000144 ,2.745654518
ZSYH,0.014607 ,0.000362 ,2.322633518
ZGSH,0.005894 ,0.000068 ,3.007592139
CJDL,0.008425 ,0.000135 ,1.248610951
ZGPA,0.005890 ,0.000066 ,2.758602261
ZGSH,0.002678 ,0.000014 ,4.25408138
ZXZQ,0.003331 ,0.000022 ,2.075696954
XYYH,0.004059 ,0.000032 ,2.566954668
YCYH,0.023086 ,0.000956 ,6.086195333
ZJKY,0.013407 ,0.000311 ,2.34047375
HRYY,0.010479 ,0.000214 ,3.018796888
JTYH,0.003903 ,0.000034 ,2.972472427
SXFJ,0.013416 ,0.000440 ,2.420844984
HTWY,0.005935 ,0.000068 ,6.560953881
ZGJZ,0.008581 ,0.000139 ,2.882930552
