GRU_units,dropout1,dropout2,filters,kernel_size,pool_size,strides,MAPE
32,0.05,0.05,16,2,1,1,7.229800760522914
32,0.05,0.05,16,2,1,2,11.634954705893549
32,0.05,0.05,16,2,2,1,8.80616931428835
32,0.05,0.05,16,2,2,2,8.933155716965857
32,0.05,0.05,16,3,1,1,10.258151027242125
32,0.05,0.05,16,3,1,2,13.026050846208
32,0.05,0.05,16,3,2,1,6.108192570012652
32,0.05,0.05,16,3,2,2,8.081133876980898
32,0.05,0.05,32,2,1,1,12.686505217817356
32,0.05,0.05,32,2,1,2,18.95477547153254
32,0.05,0.05,32,2,2,1,11.51646949004773
32,0.05,0.05,32,2,2,2,11.690773761494084
32,0.05,0.05,32,3,1,1,7.508766631129732
32,0.05,0.05,32,3,1,2,21.361626815011935
32,0.05,0.05,32,3,2,1,10.802550757382914
32,0.05,0.05,32,3,2,2,14.90382976424938
32,0.05,0.05,64,2,1,1,15.155829301439333
32,0.05,0.05,64,2,1,2,4.041958492656075
32,0.05,0.05,64,2,2,1,12.774970989235012
32,0.05,0.05,64,2,2,2,5.435516158019436
32,0.05,0.05,64,3,1,1,10.956879735141168
32,0.05,0.05,64,3,1,2,9.529215848497566
32,0.05,0.05,64,3,2,1,12.898786706008082
32,0.05,0.05,64,3,2,2,17.138525562285146
32,0.05,0.1,16,2,1,1,12.969866789040513
32,0.05,0.1,16,2,1,2,5.462866978925385
32,0.05,0.1,16,2,2,1,8.995488965331647
32,0.05,0.1,16,2,2,2,6.207744568000784
32,0.05,0.1,16,3,1,1,6.790113964523854
32,0.05,0.05,16,2,1,1,5.2712515402034
32,0.05,0.05,16,2,1,2,11.20946639906749
32,0.05,0.05,16,2,2,1,10.57133371435659
32,0.05,0.05,16,2,2,2,8.884799585764744
32,0.05,0.05,16,3,1,1,12.070945700520555
32,0.05,0.05,16,3,1,2,10.14492722516334
32,0.05,0.05,16,3,2,1,9.9268485572271
32,0.05,0.05,16,3,2,2,18.691584099900897
32,0.05,0.05,32,2,1,1,17.117931579173025
32,0.05,0.05,32,2,1,2,10.618308651886393
32,0.05,0.05,32,2,2,1,14.537390532489368
32,0.05,0.05,32,2,2,2,8.388376220158465
32,0.05,0.05,32,3,1,1,9.3025696538346
32,0.05,0.05,32,3,1,2,5.748826391405518
32,0.05,0.05,32,3,2,1,11.350901134192704
32,0.05,0.05,32,3,2,2,13.96971703185154
32,0.05,0.05,64,2,1,1,5.723351791591154
32,0.05,0.05,64,2,1,2,9.64573255824522
32,0.05,0.05,64,2,2,1,9.0479838864038
32,0.05,0.05,64,2,2,2,11.167445688223534
32,0.05,0.05,64,3,1,1,10.056539138806531
32,0.05,0.05,64,3,1,2,13.291951981640365
32,0.05,0.05,64,3,2,1,9.527908896459683
32,0.05,0.05,64,3,2,2,6.134887162680538
32,0.05,0.1,16,2,1,1,9.689338620448464
32,0.05,0.1,16,2,1,2,7.136824650534229
32,0.05,0.1,16,2,2,1,12.753338441832884
32,0.05,0.1,16,2,2,2,6.055620398359799
32,0.05,0.1,16,3,1,1,6.599639583070513
32,0.05,0.1,16,3,1,2,16.450212872482975
32,0.05,0.1,16,3,2,1,5.364900049177903
32,0.05,0.1,16,3,2,2,6.938005368532389
32,0.05,0.1,32,2,1,1,8.450875675855434
32,0.05,0.1,32,2,1,2,10.146808805971917
32,0.05,0.1,32,2,2,1,7.602082196474329
32,0.05,0.1,32,2,2,2,13.483479022401026
32,0.05,0.1,32,3,1,1,16.245053348694857
32,0.05,0.1,32,3,1,2,11.410509258970816
32,0.05,0.1,32,3,2,1,13.214346953492434
32,0.05,0.1,32,3,2,2,8.072763888376075
32,0.05,0.1,64,2,1,1,9.643733561520303
32,0.05,0.1,64,2,1,2,11.49921865246976
32,0.05,0.1,64,2,2,1,17.95547817050835
32,0.05,0.1,64,2,2,2,6.7089993782694535
32,0.05,0.1,64,3,1,1,9.063268571093456
32,0.05,0.1,64,3,1,2,9.2237645848323
32,0.05,0.1,64,3,2,1,5.206004927036448
32,0.05,0.1,64,3,2,2,5.520645855259805
32,0.05,0.15,16,2,1,1,11.962525576614487
32,0.05,0.15,16,2,1,2,20.45797101864718
32,0.05,0.15,16,2,2,1,11.916860924327931
32,0.05,0.15,16,2,2,2,6.159704625832594
32,0.05,0.15,16,3,1,1,9.805388585849665
32,0.05,0.15,16,3,1,2,13.37109620620422
32,0.05,0.15,16,3,2,1,17.008653522274678
32,0.05,0.15,16,3,2,2,17.057502560520042
32,0.05,0.15,32,2,1,1,6.902228348468338
32,0.05,0.15,32,2,1,2,15.89085645778034
32,0.05,0.15,32,2,2,1,10.31007427483978
32,0.05,0.05,16,2,1,1,10.611316385914812
32,0.05,0.05,16,2,1,2,19.418100479344687
32,0.05,0.05,16,2,2,1,8.493788873155653
32,0.05,0.05,16,2,2,2,9.273174137381076
32,0.05,0.05,16,3,1,1,11.08065152075764
32,0.05,0.05,16,3,1,2,11.036269997758025
32,0.05,0.05,16,3,2,1,6.893279349794472
32,0.05,0.05,16,3,2,2,16.570262773053376
32,0.05,0.05,32,2,1,1,9.126689894617776
32,0.05,0.05,32,2,1,2,8.706052157852065
32,0.05,0.05,32,2,2,1,13.45324528690448
32,0.05,0.05,32,2,2,2,11.507891697577351
32,0.05,0.05,32,3,1,1,13.212369711491956
32,0.05,0.05,32,3,1,2,15.058802954007424
32,0.05,0.05,32,3,2,1,7.546188822922531
32,0.05,0.05,32,3,2,2,5.088297513134295
32,0.05,0.05,64,2,1,1,6.085815693569882
32,0.05,0.05,64,2,1,2,9.593298738602346
32,0.05,0.05,64,2,2,1,4.796868456761151
32,0.05,0.05,64,2,2,2,6.06882782253316
32,0.05,0.05,64,3,1,1,8.837628743587848
