GRU_units,dropout1,dropout2,filters,kernel_size,pool_size,strides,MAPE
64,0.15,0.1,32,2,1,1,19.79102043088077
64,0.15,0.1,32,2,1,2,21.658486568323017
64,0.15,0.1,32,2,2,1,27.179123439115056
64,0.15,0.1,32,2,2,2,31.31181665657191
64,0.15,0.1,32,3,1,1,22.08086045608546
64,0.15,0.1,32,3,1,2,33.320399566035455
64,0.15,0.1,32,3,2,1,26.28031430080587
64,0.15,0.1,32,3,2,2,29.074425446798617
64,0.15,0.1,64,2,1,1,27.583048663669928
64,0.15,0.1,64,2,1,2,22.043347581774743
64,0.15,0.1,64,2,2,1,31.974957993340382
64,0.15,0.1,64,2,2,2,27.45387881329136
64,0.15,0.1,64,3,1,1,27.897933531097436
64,0.15,0.1,64,3,1,2,21.98422885823157
64,0.15,0.1,64,3,2,1,21.16735887914866
64,0.15,0.1,64,3,2,2,32.93514703460005
64,0.15,0.15,32,2,1,1,29.33907736054955
64,0.15,0.15,32,2,1,2,24.76370745570604
64,0.15,0.15,32,2,2,1,27.052093045274816
64,0.15,0.15,32,2,2,2,26.79841792620783
64,0.15,0.15,32,3,1,1,19.851191158204333
64,0.15,0.15,32,3,1,2,24.767476093464012
64,0.15,0.15,32,3,2,1,29.3873465996889
64,0.15,0.15,32,3,2,2,29.75865501329461
64,0.15,0.15,64,2,1,1,20.14974463178609
64,0.15,0.15,64,2,1,2,26.29103974190502
64,0.15,0.15,64,2,2,1,27.559723413542798
64,0.15,0.15,64,2,2,2,31.645859955870243
64,0.15,0.15,64,3,1,1,21.55022422178722
64,0.15,0.15,64,3,1,2,30.439152886657066
64,0.15,0.15,64,3,2,1,25.28269150947475
64,0.15,0.15,64,3,2,2,33.11658276915902
64,0.3,0.1,32,2,1,1,19.47699568160043
64,0.3,0.1,32,2,1,2,29.7883633352232
64,0.3,0.1,32,2,2,1,25.487930192817217
64,0.3,0.1,32,2,2,2,26.999244944161642
64,0.3,0.1,32,3,1,1,23.43748263334818
64,0.3,0.1,32,3,1,2,28.168134082026725
64,0.3,0.1,32,3,2,1,29.053046686178206
64,0.3,0.1,32,3,2,2,27.033528681667317
64,0.3,0.1,64,2,1,1,23.9568760148324
64,0.3,0.1,64,2,1,2,25.25290067283364
64,0.3,0.1,64,2,2,1,33.4022218704013
64,0.3,0.1,64,2,2,2,33.66019865392688
64,0.3,0.1,64,3,1,1,21.974791509039928
64,0.3,0.1,64,3,1,2,27.68458789491173
64,0.3,0.1,64,3,2,1,37.337365505433205
64,0.3,0.1,64,3,2,2,30.73046963460641
64,0.3,0.15,32,2,1,1,26.70861041173529
64,0.3,0.15,32,2,1,2,20.347299098151616
64,0.3,0.15,32,2,2,1,28.303903242981153
64,0.3,0.15,32,2,2,2,28.31250475439651
64,0.3,0.15,32,3,1,1,27.694817429990426
64,0.3,0.15,32,3,1,2,30.357612398426113
64,0.3,0.15,32,3,2,1,30.557993010445156
64,0.3,0.15,32,3,2,2,26.93854147777199
64,0.3,0.15,64,2,1,1,24.409623334581507
64,0.3,0.15,64,2,1,2,19.712577862448715
64,0.3,0.15,64,2,2,1,29.010516329937058
64,0.3,0.15,64,2,2,2,29.68629249544716
64,0.3,0.15,64,3,1,1,22.700519637625863
64,0.3,0.15,64,3,1,2,28.01957701419542
64,0.3,0.15,64,3,2,1,26.99043517899149
64,0.3,0.15,64,3,2,2,24.916787282452752
128,0.15,0.1,32,2,1,1,22.07201076365471
128,0.15,0.1,32,2,1,2,26.766212197900995
128,0.15,0.1,32,2,2,1,28.661554149407962
128,0.15,0.1,32,2,2,2,30.18126145142596
128,0.15,0.1,32,3,1,1,22.662978004952443
128,0.15,0.1,32,3,1,2,24.481723021046044
128,0.15,0.1,32,3,2,1,28.32609452446688
128,0.15,0.1,32,3,2,2,31.960354810291093
128,0.15,0.1,64,2,1,1,22.95188544693317
128,0.15,0.1,64,2,1,2,24.749475915901737
128,0.15,0.1,64,2,2,1,39.8562130417512
128,0.15,0.1,64,2,2,2,35.4896803392156
128,0.15,0.1,64,3,1,1,26.05774923909192
128,0.15,0.1,64,3,1,2,24.4915761238809
128,0.15,0.1,64,3,2,1,27.37005527481784
