ts_code,trade_date,open,high,low,close,vol,amount,pre_close,change,pct_chg
AAPL,20230828,180.09,180.59,178.545,180.19,43820697.0,7896051392.43,178.61,1.579999999999984,0.8846089244723051
AAPL,20230829,179.695,184.9,179.5,184.12,53003948.0,9759086905.76,180.19,3.930000000000007,2.1810311338032116
AAPL,20230830,184.94,187.85,184.74,187.65,60813888.0,11411726083.2,184.12,3.530000000000001,1.9172278948511847
AAPL,20230831,187.84,189.12,187.48,187.87,60794467.0,11421456515.29,187.65,0.21999999999999886,0.11723954169997274
AAPL,20230901,189.485,189.92,188.28,189.46,45766503.0,8670921658.380001,187.87,1.5900000000000034,0.8463299089796154
AAPL,20230905,188.28,189.98,187.61,189.7,45280027.0,8589621121.9,189.46,0.23999999999998067,0.12667581547555193
AAPL,20230906,188.4,188.85,181.47,182.91,81755816.0,14953956304.56,189.7,-6.789999999999992,-3.5793357933579295
AAPL,20230907,175.18,178.21,173.54,177.56,112488803.0,19973511860.68,182.91,-5.349999999999994,-2.9249357607566533
AAPL,20230908,178.35,180.239,177.79,178.18,65602066.0,11688976119.880001,177.56,0.6200000000000045,0.34917774273485275
AAPL,20230911,180.07,180.3,177.34,179.36,58953052.0,10573819406.720001,178.18,1.1800000000000068,0.6622516556291429
AAPL,20230912,179.49,180.13,174.82,176.3,90370192.0,15932264849.6,179.36,-3.0600000000000023,-1.7060660124888505
AAPL,20230913,176.51,177.3,173.98,174.21,84267928.0,14680315736.880001,176.3,-2.0900000000000034,-1.1854792966534335
AAPL,20230914,174.0,176.1,173.58,175.74,60895757.0,10701820335.18,174.21,1.5300000000000011,0.8782503874634069
AAPL,20230915,176.48,176.495,173.82,175.01,109259461.0,19121498269.61,175.74,-0.7300000000000182,-0.41538636622283953
AAPL,20230918,176.48,179.38,176.17,177.97,67257573.0,11969830266.81,175.01,2.960000000000008,1.691331923890068
AAPL,20230919,177.52,179.63,177.13,179.07,51826941.0,9280650324.869999,177.97,1.0999999999999943,0.6180816991627771
AAPL,20230920,179.26,179.695,175.4,175.49,58436181.0,10254965403.69,179.07,-3.579999999999984,-1.99921818283352
AAPL,20230921,174.55,176.3,173.86,173.93,63149116.0,10983525745.880001,175.49,-1.5600000000000023,-0.8889395407145719
AAPL,20230922,174.67,177.079,174.05,174.79,56725385.0,9915030044.15,173.93,0.8599999999999852,0.4944517909503738
AAPL,20230925,174.2,176.97,174.15,176.08,46172740.0,8130096059.200001,174.79,1.2900000000000205,0.7380284913324678
AAPL,20230926,174.82,175.2,171.66,171.96,64588945.0,11106714982.2,176.08,-4.1200000000000045,-2.3398455247614742
AAPL,20230927,172.62,173.04,169.05,170.43,66921808.0,11405483737.44,171.96,-1.5300000000000011,-0.8897418004187027
AAPL,20230928,169.34,172.03,167.62,170.69,56294419.0,9608894379.11,170.43,0.2599999999999909,0.1525553012967147
AAPL,20230929,172.02,173.07,170.341,171.21,51861083.0,8879136020.43,170.69,0.5200000000000102,0.3046458492003106
AAPL,20231002,171.22,174.3,170.93,173.75,52164535.0,9063587956.25,171.21,2.539999999999992,1.4835582033759664
AAPL,20231003,172.255,173.63,170.82,172.4,49594613.0,8550111281.2,173.75,-1.3499999999999943,-0.7769784172661838
AAPL,20231004,171.09,174.21,170.97,173.66,53020286.0,9207502866.76,172.4,1.259999999999991,0.7308584686774888
AAPL,20231005,173.79,175.45,172.68,174.91,48527918.0,8488018137.38,173.66,1.25,0.7197973050788898
AAPL,20231006,173.8,177.99,173.18,177.49,57266675.0,10164262145.75,174.91,2.5800000000000125,1.4750443085015223
AAPL,20231009,176.81,179.05,175.8,178.99,42390772.0,7587524280.280001,177.49,1.5,0.8451180348188629
AAPL,20231010,178.1,179.72,177.95,178.39,43698019.0,7795289609.41,178.99,-0.6000000000000227,-0.3352142577797769
AAPL,20231011,178.2,179.85,177.6,179.8,47551098.0,8549687420.400001,178.39,1.410000000000025,0.7904030494983043
AAPL,20231012,180.07,182.34,179.04,180.71,56743119.0,10254049034.49,179.8,0.9099999999999966,0.5061179087875398
AAPL,20231013,181.42,181.93,178.14,178.85,51456082.0,9202920265.699999,180.71,-1.8600000000000136,-1.0292734215040749
AAPL,20231016,176.75,179.075,176.51,178.72,52516984.0,9385835380.48,178.85,-0.12999999999999545,-0.07268660889012885
